path,filename,extension,size,line_count,char_count,detected_category,confidence,reasons,recommended_action,target_folder,sha256,duplicate_of
sources/sexologist/Анкета_для_пациентов_женского_пола.docx,Анкета_для_пациентов_женского_пола.docx,.docx,25723,313,19291,questionnaire,0.73,questionnaire markers=2 | numbered_items=0,copy_to_specialized_bucket,sorted_sources/surveys,6756c2f33716a8d138832180b57545096338c2d4361c4bbb33ff1f8355e20a41,
sources/sexologist/Анкета_для_пациентов_мужского_пола.docx,Анкета_для_пациентов_мужского_пола.docx,.docx,94084,1386,79212,questionnaire,0.96,questionnaire markers=8 | numbered_items=6,copy_to_specialized_bucket,sorted_sources/surveys,987e7395b323e88e6d57bebb3033a948f3b7ee7a97893cb37c9720a68b8645ad,
sources/sexologist/Анкета_карты пац М и Ж.docx,Анкета_карты пац М и Ж.docx,.docx,94084,1386,79212,duplicate,0.98,same SHA-256 hash as an earlier candidate,review_duplicate_do_not_ingest,sorted_sources/unclear,987e7395b323e88e6d57bebb3033a948f3b7ee7a97893cb37c9720a68b8645ad,sources/sexologist/Анкета_для_пациентов_мужского_пола.docx
sources/sexologist/Введение в сексологию.docx,Введение в сексологию.docx,.docx,54430,240,47880,test,0.95,test markers=8 | numbered_items=45,copy_to_specialized_bucket,sorted_sources/tests,100abc374c456db1af0dc39ba991d2785610e0d316328589203471c9b0d78e35,
sources/sexologist/Женская психопатология Святоч.pdf,Женская психопатология Святоч.pdf,.pdf,1637524,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,7cd0df4c438e77f8030875a428b105e8c217797668195b77e8bd81b809a3c677,
sources/sexologist/Женская сексуальность.docx,Женская сексуальность.docx,.docx,32246,92,17944,questionnaire,0.85,questionnaire markers=1 | numbered_items=16,copy_to_specialized_bucket,sorted_sources/surveys,164997278f2d0bbb7658586363732ef8a6375b2e365bde443c2b9a55910e570c,
sources/sexologist/Женские сексуальные дисфункции .docx,Женские сексуальные дисфункции .docx,.docx,69319,359,75765,test,0.95,test markers=2 | numbered_items=34,copy_to_specialized_bucket,sorted_sources/tests,82a89c00e9a978b5e76261683c13306fcc8f1dbfabe2a55fff51860987fdc8a2,
sources/sexologist/Завис (през).docx,Завис (през).docx,.docx,66397,377,62436,test,0.95,test markers=7 | numbered_items=42,copy_to_specialized_bucket,sorted_sources/tests,c51d9364087229f68baec9827b2f53fb6f34fbdb6f2c48198f8310dbb8bc2b43,
sources/sexologist/Индекс_женской_сексуальной_функции_ИЖСФ.docx,Индекс_женской_сексуальной_функции_ИЖСФ.docx,.docx,10173,140,7702,test,0.83,test markers=2 | numbered_items=19,copy_to_specialized_bucket,sorted_sources/tests,311d6bdd7125be4dc2645171f160c14896c871645377e76584f4d06fc63bf961,
sources/sexologist/Индекс_эректильной_функции_международный.docx,Индекс_эректильной_функции_международный.docx,.docx,9750,124,5910,test,0.82,test markers=3 | numbered_items=15,copy_to_specialized_bucket,sorted_sources/tests,49248672f5eb472a15571ec339baab58a2062b9456c8d1e5c838a9906bcb4760,
sources/sexologist/конс. жертв секс. насил..docx,конс. жертв секс. насил..docx,.docx,32977,96,29597,good_source,0.90,explanatory/theory markers=55,copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,74002949b468868e93786b8619b460ce2ad1cd08eed3de913ba9f29ef48608c1,
sources/sexologist/Куст розы. Символдрама.docx,Куст розы. Символдрама.docx,.docx,228077,101,28256,questionnaire,0.75,questionnaire markers=2 | numbered_items=2,copy_to_specialized_bucket,sorted_sources/surveys,25ddb1d7bec06f91cba101a83bb0bf1eabfdff8f76703052ef49e80bce61ec15,
sources/sexologist/Любовь. ревность..docx,Любовь. ревность..docx,.docx,46226,167,26148,good_source,0.90,explanatory/theory markers=84,copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,78fb827d02b3041531e95d01522096f39adee59f536cd9e4b863a84b93132a34,
sources/sexologist/М половая конституция табл.docx,М половая конституция табл.docx,.docx,7303,89,980,unclear,0.50,insufficient local signals,copy_for_manual_review,sorted_sources/unclear,80411396dfe3f543f34fdb13edc7c56a1bbd085e443b27b378ca8c4e790c2327,
"sources/sexologist/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.pdf","Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.pdf",.pdf,106622904,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,e58a8329f0e6ec75c79a29ac3ed5fa20a096cdb8506474026e5d569cb95d508c,
sources/sexologist/Медицинская_сексология_Психотерапия_сексуальных_расстройств.pdf,Медицинская_сексология_Психотерапия_сексуальных_расстройств.pdf,.pdf,106622904,0,0,duplicate,0.98,same SHA-256 hash as an earlier candidate,review_duplicate_do_not_ingest,sorted_sources/unclear,e58a8329f0e6ec75c79a29ac3ed5fa20a096cdb8506474026e5d569cb95d508c,"sources/sexologist/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.pdf"
sources/sexologist/Международный_индекс_эректильной_функции_МИЭФ.docx,Международный_индекс_эректильной_функции_МИЭФ.docx,.docx,9750,124,5910,test,0.82,test markers=3 | numbered_items=15,copy_to_specialized_bucket,sorted_sources/tests,f23718bd053aa229662b1f2cae97b2ec11daf7d4ce39dbdb7fbafabd1f1f9e81,
sources/sexologist/Мужская сексуальность.docx,Мужская сексуальность.docx,.docx,83223,369,68469,questionnaire,0.96,questionnaire markers=20 | numbered_items=33,copy_to_specialized_bucket,sorted_sources/surveys,3af3fd2b810c94a3600296c4df0811272d54bf30969fcae4bfdde666d54981cf,
sources/sexologist/Нарушение_оргазма_у_женщин_и_их_коррекция_.docx,Нарушение_оргазма_у_женщин_и_их_коррекция_.docx,.docx,48646,188,45209,exercise,0.72,exercise markers=5,copy_to_specialized_bucket,sorted_sources/exercises,3e894ef6b71b1ba9c7e1ae2a0e1e000696e831df48b01e5262c03a819b831603,
sources/sexologist/Нетипичный секс.docx,Нетипичный секс.docx,.docx,89010,161,51873,good_source,0.90,explanatory/theory markers=152,copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,013843677c1afd036c0a124005f0091f64e778b9acfed27cd17d3fe1c116a6b7,
sources/sexologist/Опросник_Сексуальная_формула_мужская_СФМ.docx,Опросник_Сексуальная_формула_мужская_СФМ.docx,.docx,11754,15,7376,questionnaire,0.96,questionnaire markers=8 | numbered_items=4,copy_to_specialized_bucket,sorted_sources/surveys,9f81afdefafde5436d036ba684653382333a99925d5a9d9441f670d66aa55ef3,
sources/sexologist/Опросник_социосексуальной_ориентации_SOI.pdf,Опросник_социосексуальной_ориентации_SOI.pdf,.pdf,120109,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,07b10e2e438c8ab7e5b134aef90052fae47adeda9352786eeb4a643eea401f71,
sources/sexologist/ПСР_психосексуальное_развитие_в_норме.docx,ПСР_психосексуальное_развитие_в_норме.docx,.docx,99329,362,108061,questionnaire,0.96,questionnaire markers=2 | numbered_items=31,copy_to_specialized_bucket,sorted_sources/surveys,883fe94a0eaa2404020dcb4eba02b2e2a2ec1835f68586f8832b0bf266d49bdf,
sources/sexologist/Свядощ_Женская_Сексопатология_doc.docx,Свядощ_Женская_Сексопатология_doc.docx,.docx,260945,1148,466617,exercise,0.90,exercise markers=23,copy_to_specialized_bucket,sorted_sources/exercises,747efb14999b0836a98f2aae65090c7331f435fdf235d6705647216c37414a9f,
sources/sexologist/секс дисф. начало (през).docx,секс дисф. начало (през).docx,.docx,70849,206,35562,good_source,0.90,explanatory/theory markers=189,copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,985e164add47d9c10a084552461f7ffe77243f73768a2d0f5f62e70f1b447404,
sources/sexologist/Секс. обслед. Ж (1).docx,Секс. обслед. Ж (1).docx,.docx,15936,57,4142,article,0.74,article markers=0 | theory markers=13,copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,720ad69f263908f69a582c1f0f8c263ceeb82d2639fbcd7be4a23a318648637b,
sources/sexologist/Сексуальные дисгармонии.docx,Сексуальные дисгармонии.docx,.docx,36950,113,31134,exercise,0.67,exercise markers=3,copy_to_specialized_bucket,sorted_sources/exercises,8f7d5f4cfa127593e3a6a65164f5ae93adf02bda021913b05be90bf314f7dc26,
sources/sexologist/Сексуальный интеллект.pdf,Сексуальный интеллект.pdf,.pdf,1408937,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,fc93523356412984dbf4b63332c05ae6c36488bea376cb086112a92aeb2e83ea,
sources/sexologist/Сочетанное_использование_эриксоновского_гипноза_и_ДПДГ_в_клинической.pdf,Сочетанное_использование_эриксоновского_гипноза_и_ДПДГ_в_клинической.pdf,.pdf,138796,0,0,duplicate,0.98,same SHA-256 hash as an earlier candidate,review_duplicate_do_not_ingest,sorted_sources/unclear,9ce25312193ba95d345307f8caff34d0945b59f4bbdfc6f8b86bca889b1fb2ea,sources/sexologist/statya-va-domorackogo (1).pdf
sources/sexologist/Стерн Д. - Глаз видит сам себя.pdf,Стерн Д. - Глаз видит сам себя.pdf,.pdf,489936,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,f5cbb6e2adcf7adfd647db4ae805955a9969128952bb67e25c349f9388a78913,
"sources/sexologist/Стратегии_с_неврозами,_диссоциацией,_окр_и_тп.docx","Стратегии_с_неврозами,_диссоциацией,_окр_и_тп.docx",.docx,76561,266,38775,questionnaire,0.96,questionnaire markers=9 | numbered_items=77,copy_to_specialized_bucket,sorted_sources/surveys,29a20af40fd68e02acf25b149e9b08ed1b0d88c9c76b5fa4f165d4398c0973dc,
sources/sexologist/Стыд и секс.docx,Стыд и секс.docx,.docx,52109,64,25902,exercise,0.70,exercise markers=4,copy_to_specialized_bucket,sorted_sources/exercises,56cccc2cec142e74187552492f94f20fd691da0aa8125fbfafe32acfeaa51b7f,
sources/sexologist/Супр. терапия (оконч).docx,Супр. терапия (оконч).docx,.docx,27546,69,21586,good_source,0.90,explanatory/theory markers=55,copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,c8e750add880a5bed6fe5e95fc0978e5b4e45d19e8c997a91de5569129b7b00a,
sources/sexologist/Супружеская_совместимость_и_проблемы_отношений_в_браке_.docx,Супружеская_совместимость_и_проблемы_отношений_в_браке_.docx,.docx,46900,193,42148,test,0.95,test markers=8 | numbered_items=32,copy_to_specialized_bucket,sorted_sources/tests,d4b43f4a45548c8c82558257fda3c443d6366368fe066515b2f174665da75d4b,
sources/sexologist/СФЖ_сексуальная_формула_женская_Карта_эрогенных_зон_женская_.docx,СФЖ_сексуальная_формула_женская_Карта_эрогенных_зон_женская_.docx,.docx,333941,13,5876,questionnaire,0.77,questionnaire markers=2 | numbered_items=4,copy_to_specialized_bucket,sorted_sources/surveys,c23bbe62ac8e599cbbbd9b64b0aba0050e12f00411071ef1639c5e15a9153dbd,
sources/sexologist/СФМ секс формула М опросник .docx,СФМ секс формула М опросник .docx,.docx,11754,15,7376,questionnaire,0.96,questionnaire markers=10 | numbered_items=4,copy_to_specialized_bucket,sorted_sources/surveys,a9abf5c8ca517220508e9dc17c2ca4450bdce6cecedf368328fa597290ea643d,
sources/sexologist/Тест_опросник_удовлетвореености_браком.docx,Тест_опросник_удовлетвореености_браком.docx,.docx,9320,111,5118,test,0.86,test marker in filename,copy_to_specialized_bucket,sorted_sources/tests,41e792d894e7e91499527e5b1244badf376e0cb1ddb5918ce1788e8d282e3d9a,
sources/sexologist/Х Каплан Сексуальная терапия.docx,Х Каплан Сексуальная терапия.docx,.docx,697950,654,245611,book_theory,0.84,"large theory document, theory markers=662",copy_to_source_bucket_then_prepare_cleaning,sorted_sources/good,88bd9a1c400795e7b8ab355471ba86f7e5e600cb0bd4ca49b3abdc77fff040c4,
sources/sexologist/Шкала ПК для женщин.pdf,Шкала ПК для женщин.pdf,.pdf,53057,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,216c5498969c60c22774b12625d4486e4ebdbdf4752a088a6cc61c9650b3e155,
sources/sexologist/ЭГ в пт секс дисфункций.docx,ЭГ в пт секс дисфункций.docx,.docx,106920,501,104980,test,0.95,test markers=4 | numbered_items=117,copy_to_specialized_bucket,sorted_sources/tests,dea03cff3551f76ce5d9e359681f36e2ed33b138666eecd4a276ec63be347300,
sources/sexologist/ЭГ в секс дисфункциях.docx,ЭГ в секс дисфункциях.docx,.docx,106920,501,104980,duplicate,0.98,same SHA-256 hash as an earlier candidate,review_duplicate_do_not_ingest,sorted_sources/unclear,dea03cff3551f76ce5d9e359681f36e2ed33b138666eecd4a276ec63be347300,sources/sexologist/ЭГ в пт секс дисфункций.docx
sources/sexologist/Эмили Нагоски - Как хочет женщина.pdf,Эмили Нагоски - Как хочет женщина.pdf,.pdf,2786132,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,c9f5052da5363eef1bbaed23fd4017c39014a22327367113289792eb2908681c,
sources/sexologist/Яффе Секс в жизни женщины .pdf,Яффе Секс в жизни женщины .pdf,.pdf,122657207,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,70e420c4c48c06c355b58aef1dd3ca5e1bc6d109e70253afcc6bb8edb78c91ee,
sources/sexologist/Яффе Секс в жизни мужчины .pdf,Яффе Секс в жизни мужчины .pdf,.pdf,119279354,0,0,ocr_required,0.92,text_extract_not_supported_for_.pdf | scanned pdf or image-only pdf requires OCR before content classification,copy_to_ocr_queue,sorted_sources/ocr_required,6c2f81e613ab9ff293b1c149cd0af984f05a86d0dba351868c192d2f5f8384cd,
