path,filename,chars_before,planned_chars_after,paragraphs_before,paragraphs_after,paragraph_restore_planned,paragraph_restore_splits,tail_cleanup_planned,tail_remove_chars,tail_reasons,logical_category,form_score,form_reasons,duplicate_status,duplicate_of,duplicate_similarity,chunking_readiness_before,chunking_readiness_after,planned_output,warnings
cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.cleaned.txt,126920_4409ae397650cf3bad5ab99ba9787539.cleaned.cleaned.txt,525814,513416,430,351,False,0,True,12398,['bibliography_tail'],explanatory_narrative,0.15,['exam'],canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.cleaned.txt,[]
cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.ocr.raw.cleaned.txt,126920_4409ae397650cf3bad5ab99ba9787539.ocr.raw.cleaned.txt,525826,513428,432,353,False,0,True,12398,['bibliography_tail'],explanatory_narrative,0.15,['exam'],duplicate_candidate,cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.cleaned.txt,1.0,0.75,0.79,cleaned_corpus/good/126920_4409ae397650cf3bad5ab99ba9787539.ocr.raw.cleaned.txt,[]
cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,549857,547080,374,372,False,0,True,2776,['bibliography_tail'],explanatory_narrative,0.0,['objective'],canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,[]
cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.cleaned.cleaned.txt,88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.cleaned.cleaned.txt,549305,546530,56,56,False,0,True,2774,['bibliography_tail'],explanatory_narrative,0.0,['objective'],duplicate_candidate,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,0.985,0.57,0.61,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.cleaned.cleaned.txt,[]
cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.raw.cleaned.txt,88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.raw.cleaned.txt,549857,547080,374,372,False,0,True,2776,['bibliography_tail'],explanatory_narrative,0.0,['objective'],duplicate_candidate,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.cleaned.txt,1.0,0.75,0.79,cleaned_corpus/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.raw.cleaned.txt,[]
cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.cleaned.txt,88436_f74ff498f23077badd28e1a443f537ab.cleaned.cleaned.txt,825736,825415,648,647,False,0,True,320,['publisher_tail'],explanatory_narrative,0.0,[],canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.cleaned.txt,[]
cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.ocr.raw.cleaned.txt,88436_f74ff498f23077badd28e1a443f537ab.ocr.raw.cleaned.txt,825541,825220,647,646,False,0,True,320,['publisher_tail'],explanatory_narrative,0.0,[],duplicate_candidate,cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.cleaned.txt,1.0,0.75,0.79,cleaned_corpus/good/88436_f74ff498f23077badd28e1a443f537ab.ocr.raw.cleaned.txt,[]
cleaned_corpus/good/конс. жертв секс. насил..cleaned.txt,конс. жертв секс. насил..cleaned.txt,28548,28569,1,22,True,42,False,0,[],explanatory_narrative,0.0,['exam'],canonical_or_unique,,,0.47,1.0,cleaned_corpus/good/конс. жертв секс. насил..cleaned.txt,[]
cleaned_corpus/good/Любовь. ревность..cleaned.txt,Любовь. ревность..cleaned.txt,25518,25537,1,20,True,38,False,0,[],explanatory_narrative,0.1,[],canonical_or_unique,,,0.47,1.0,cleaned_corpus/good/Любовь. ревность..cleaned.txt,[]
"cleaned_corpus/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.cleaned.txt","Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.cleaned.txt",906568,894543,651,615,False,0,True,12024,['bibliography_tail'],explanatory_narrative,0.0,"['questionnaire', 'exam']",canonical_or_unique,,,1.0,1.0,"cleaned_corpus/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.cleaned.txt",[]
"cleaned_corpus/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.ocr.raw.cleaned.txt","Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.ocr.raw.cleaned.txt",906577,894550,650,614,False,0,True,12026,['bibliography_tail'],explanatory_narrative,0.0,"['questionnaire', 'exam']",duplicate_candidate,"cleaned_corpus/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.cleaned.txt",1.0,0.75,0.79,"cleaned_corpus/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.ocr.raw.cleaned.txt",[]
cleaned_corpus/good/Нетипичный секс.cleaned.txt,Нетипичный секс.cleaned.txt,50903,50941,1,39,True,76,False,0,[],explanatory_narrative,0.0,[],canonical_or_unique,,,0.47,1.0,cleaned_corpus/good/Нетипичный секс.cleaned.txt,[]
cleaned_corpus/good/секс дисф. начало (през).cleaned.txt,секс дисф. начало (през).cleaned.txt,34800,34826,1,27,True,52,False,0,[],explanatory_narrative,0.27,"['complaints', 'exam', 'objective']",canonical_or_unique,,,0.47,1.0,cleaned_corpus/good/секс дисф. начало (през).cleaned.txt,[]
cleaned_corpus/good/Секс. обслед. Ж (1).cleaned.txt,Секс. обслед. Ж (1).cleaned.txt,2601,2601,1,1,False,0,False,0,[],form_card,1.0,"['card', 'fill', 'complaints', 'exam', 'objective', 'status', 'sfzh', 'blank_slots']",canonical_or_unique,,,0.62,0.62,cleaned_corpus/forms/Секс. обслед. Ж (1).cleaned.txt,[]
cleaned_corpus/good/Сексуальный интеллект.cleaned.cleaned.txt,Сексуальный интеллект.cleaned.cleaned.txt,399746,399746,254,254,False,0,False,0,[],explanatory_narrative,0.0,[],canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/Сексуальный интеллект.cleaned.cleaned.txt,[]
cleaned_corpus/good/Сексуальный интеллект.ocr.raw.cleaned.txt,Сексуальный интеллект.ocr.raw.cleaned.txt,399746,399746,254,254,False,0,False,0,[],explanatory_narrative,0.0,[],duplicate_candidate,cleaned_corpus/good/Сексуальный интеллект.cleaned.cleaned.txt,1.0,0.75,0.75,cleaned_corpus/good/Сексуальный интеллект.ocr.raw.cleaned.txt,[]
cleaned_corpus/good/Супр. терапия (оконч).cleaned.txt,Супр. терапия (оконч).cleaned.txt,21225,21241,1,17,True,32,False,0,[],explanatory_narrative,0.0,['status'],canonical_or_unique,,,0.47,1.0,cleaned_corpus/good/Супр. терапия (оконч).cleaned.txt,[]
cleaned_corpus/good/Х Каплан Сексуальная терапия.cleaned.txt,Х Каплан Сексуальная терапия.cleaned.txt,245301,245089,1,186,True,372,True,397,['publisher_tail'],explanatory_narrative,0.0,"['exam', 'objective']",canonical_or_unique,,,0.47,1.0,cleaned_corpus/good/Х Каплан Сексуальная терапия.cleaned.txt,[]
cleaned_corpus/good/Яффе Секс в жизни женщины .cleaned.cleaned.txt,Яффе Секс в жизни женщины .cleaned.cleaned.txt,420636,417713,306,304,False,0,True,2922,['bibliography_tail'],explanatory_narrative,0.43,"['card', 'questionnaire']",canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/Яффе Секс в жизни женщины .cleaned.cleaned.txt,[]
cleaned_corpus/good/Яффе Секс в жизни женщины .ocr.raw.cleaned.txt,Яффе Секс в жизни женщины .ocr.raw.cleaned.txt,420924,418001,334,332,False,0,True,2922,['bibliography_tail'],explanatory_narrative,0.43,"['card', 'questionnaire']",duplicate_candidate,cleaned_corpus/good/Яффе Секс в жизни женщины .cleaned.cleaned.txt,0.999,0.75,0.79,cleaned_corpus/good/Яффе Секс в жизни женщины .ocr.raw.cleaned.txt,[]
cleaned_corpus/good/Яффе Секс в жизни мужчины .cleaned.cleaned.txt,Яффе Секс в жизни мужчины .cleaned.cleaned.txt,362658,359658,275,272,False,0,True,2999,['bibliography_tail'],explanatory_narrative,0.56,"['card', 'questionnaire', 'fill']",canonical_or_unique,,,1.0,1.0,cleaned_corpus/good/Яффе Секс в жизни мужчины .cleaned.cleaned.txt,[]
cleaned_corpus/good/Яффе Секс в жизни мужчины .ocr.raw.cleaned.txt,Яффе Секс в жизни мужчины .ocr.raw.cleaned.txt,362872,359872,295,292,False,0,True,2999,['bibliography_tail'],explanatory_narrative,0.56,"['card', 'questionnaire', 'fill']",duplicate_candidate,cleaned_corpus/good/Яффе Секс в жизни мужчины .cleaned.cleaned.txt,0.999,0.75,0.79,cleaned_corpus/good/Яффе Секс в жизни мужчины .ocr.raw.cleaned.txt,[]
